local_custodian_code,authority,country
28,ISLE OF MAN,ISLE OF MAN
8130,ANTRIM AND NEWTONABBEY,NORTHERN IRELAND
8131,ARMAGH BANBRIDGE AND CRAIGAVON,NORTHERN IRELAND
8132,BELFAST,NORTHERN IRELAND
8133,CAUSEWAY COAST AND GLENS,NORTHERN IRELAND
8134,DERBY AND STRABANE,NORTHERN IRELAND
8135,FERMANAGH AND CASTLEREACH,NORTHERN IRELAND
8136,LISBURN AND CASTLEREAGH,NORTHERN IRELAND
8137,MID AND EAST ANTRIM,NORTHERN IRELAND
8138,MID ULSTER,NORTHERN IRELAND
8139,NEWRY AND MOURNE AND DOWN,NORTHERN IRELAND
8140,NORTH DOWN AND ARDS,NORTHERN IRELAND
8200,JERSEY,JERSEY
8205,GUERNSEY,GUERNSEY
